city;reg;district;tribe_name;latitude;longitude;pop_tot;death_toll;tribe_oppose_ord;tribe_oppose_binary;uprising_control;uprising_control_binary;foodprice;ecindex1;ecindex2
Sokna;Fezzan;Jufra;Al-Ashraf;29,066944;15,784722;9800;0;0;0;0;0;90;-13,41;22,61
Surman;Tripolitania;Zawia;Amazigh;32,75668;12,57159;36707;0;2;1;0;0;78,3;4,65;14,93
Tajura;Tripolitania;Tripoli;Karaghala;32,88167;13,35056;100000;0;1;1;0;0;84;77,62;-6,36
Tarhuna;Tripolitania;Al Margheb;Tarhuna;32,43501;13,6332;51000;0;1;1;0;0;86,2;9,37;-8,19
Tawergha;Tripolitania;Misurata;Karaghala;32,01442718;15,05083841;24223;0;1;1;1;1;78,3;19,55;-18,42
Tazerbu;Cyrenaica;Al Kufra;Toubou;25,664303;21,045261;6600;0;2;1;2;1;102;-20,29;-18,63
Tmassa;Fezzan;Mursuq;Toubou;26,39525725;15,78414552;500;0;2;1;0;0;93;-17,6;2,25
Tobruk;Cyrenaica;Al Batnan;Al-Ubaidat;32,08963;23,95385;120000;4;2;1;2;1;79,3;-8,47;-4,79
Tocra;Cyrenaica;Al Marj;Al-'Awaqir;32,53414;20,57911;61000;0;1;1;2;1;83;-11,03;-13,15
Tripoli;Tripolitania;Tripoli;Warfalla;32,88743;13,18733;1067000;700;1;1;0;0;84,7;87,62;3,64
Umm al Rizam;Cyrenaica;Derna;Al-Ubaidat;32,5325;23,005278;12000;0;2;1;2;1;88,9;-6,58;-0,79
Waddan;Fezzan;Jufra;Al-Ashraf;29,1614;16,13904;27590;0;0;0;0;0;93,7;-13,41;22,61
Yafran;Tripolitania;Al Gabal Al Gharbi;Amazigh;32,06329;12,52859;54000;0;2;1;2;1;78,5;0,12;1,02
Zaltan;Tripolitania;Nikhat Al Khams;Amazigh;32,94699;11,86668;17700;0;2;1;0;0;83;6,69;22,27
Zawia;Tripolitania;Zawia;Karaghala;32,75222;12,72778;200000;151;1;1;2;1;78,3;4,65;14,93
Zintan;Tripolitania;Al Gabal Al Gharbi;Al-Zintan;31,93155;12,25291;16000;3;1;1;2;1;78,5;0,12;1,02
Zliten;Tripolitania;Al Margheb;Zuwaya (Al-Ubaidat);32,46739;14,56874;158000;0;2;1;0;0;80,8;9,37;-8,19
Zuwara;Tripolitania;Nikhat Al Khams;Amazigh;32,9312;12,08199;76000;8;2;1;1;1;83;6,69;22,27
Zuwetina;Cyrenaica;Al Wahat;Magharba;30,95505008;20,11976471;24000;3;1;1;1;1;70,3;-9,62;-10,89
